[2022-11-19 15:34:18,981] CRITICAL - GPU detected
[2022-11-19 15:34:18,982] DEBUG - transcribing audio file in path scripts\SG93IHRvIG1ha2UgeW91ciBBSSBwcm9ncmFtIHRhbGsgdG8gaHVtYW5z\audio\audio.wav
[2022-11-19 15:34:44,965] DEBUG - start, 0.0, end, 3.72, text,  how to design an AI program that can communicate with humans.
[2022-11-19 15:34:44,965] DEBUG - start, 3.72, end, 6.5, text,  The first step in designing an AI program
[2022-11-19 15:34:44,965] DEBUG - start, 6.5, end, 11.0, text,  that can communicate with humans is to create a communication program.
[2022-11-19 15:34:44,965] DEBUG - start, 11.0, end, 15.0, text,  This program will allow the AI program to communicate with human users
[2022-11-19 15:34:44,966] DEBUG - start, 15.0, end, 17.0, text,  through text or voice.
[2022-11-19 15:34:44,966] DEBUG - start, 17.0, end, 19.7, text,  Another step in designing an AI program
[2022-11-19 15:34:44,966] DEBUG - start, 19.7, end, 21.54, text,  that can communicate with humans
[2022-11-19 15:34:44,966] DEBUG - start, 21.54, end, 24.0, text,  is to create a user interface.
[2022-11-19 15:34:44,966] DEBUG - start, 24.0, end, 29.0, text,  This user interface will allow the AI content to interact with human users
[2022-11-19 15:34:44,966] DEBUG - start, 29.0, end, 31.6, text,  through a touchscreen or keyboard.
[2022-11-19 15:34:44,966] DEBUG - start, 31.6, end, 36.58, text,  The final step in designing an AI program that can communicate with humans is to create
[2022-11-19 15:34:44,966] DEBUG - start, 36.58, end, 38.36, text,  a learning algorithm.
[2022-11-19 15:34:44,966] DEBUG - start, 38.36, end, 42.64, text,  This learning algorithm will help the AI program learn how to speak and understand human
[2022-11-19 15:34:44,966] DEBUG - start, 42.64, end, 43.72, text,  language.
[2022-11-19 15:34:44,966] DEBUG - start, 43.72, end, 47.32, text,  How to train your AI program to communicate with humans?
[2022-11-19 15:34:44,966] DEBUG - start, 47.32, end, 52.14, text,  The second step in training your AI program to communicate with humans is to create a
[2022-11-19 15:34:44,966] DEBUG - start, 52.14, end, 53.84, text,  training data set.
[2022-11-19 15:34:44,967] DEBUG - start, 53.84, end, 57.96, text,  This training data set will help the AI program learn how to speak and understand human
[2022-11-19 15:34:44,967] DEBUG - start, 57.96, end, 59.2, text,  language.
[2022-11-19 15:34:44,967] DEBUG - start, 59.2, end, 61.72, text,  The next step in training your AI program to communicate
[2022-11-19 15:34:44,967] DEBUG - start, 61.72, end, 65.04, text,  with humans is to create a training algorithm.
[2022-11-19 15:34:44,967] DEBUG - start, 65.04, end, 68.12, text,  This training algorithm will help the AI program learn
[2022-11-19 15:34:44,967] DEBUG - start, 68.12, end, 70.82, text,  how to speak and understand human language.
[2022-11-19 15:34:44,967] DEBUG - start, 70.82, end, 73.72, text,  The final step in training your AI program to communicate
[2022-11-19 15:34:44,967] DEBUG - start, 73.72, end, 76.72, text,  with humans is to test the AI program.
[2022-11-19 15:34:44,967] DEBUG - start, 76.72, end, 79.88, text,  This testing will help the AI program learn how to speak
[2022-11-19 15:34:44,967] DEBUG - start, 79.88, end, 82.02000000000001, text,  and understand human language.
[2022-11-19 15:34:44,967] DEBUG - start, 82.02000000000001, end, 84.54, text,  The AI program will be able to speak and understand
[2022-11-19 15:34:44,967] DEBUG - start, 84.54, end, 86.02000000000001, text,  human language.
[2022-11-19 15:34:44,967] DEBUG - start, 86.02, end, 89.47999999999999, text,  How to evaluate your AI make?
[2022-11-19 15:34:44,967] DEBUG - start, 89.47999999999999, end, 112.5, text,  There are very strong ways looking and many opportunities
[2022-11-19 15:34:44,967] DEBUG - start, 112.5, end, 120.5, text,  to communicate with humans. The final step in improving your AI program's ability to communicate with humans is to test the AI program.
[2022-11-19 15:34:44,967] DEBUG - start, 120.5, end, 125.5, text,  This testing will help the AI program learn how to speak and understand human language.
[2022-11-19 15:34:44,967] DEBUG - start, 125.5, end, 132.5, text,  The AI program will be able to speak and understand human language.
