[2022-11-19 15:35:24,460] CRITICAL - GPU detected
[2022-11-19 15:35:34,072] DEBUG - STREAM b'IHDR' 16 13
[2022-11-19 15:35:34,072] DEBUG - STREAM b'gAMA' 41 4
[2022-11-19 15:35:34,072] DEBUG - STREAM b'cHRM' 57 32
[2022-11-19 15:35:34,072] DEBUG - STREAM b'bKGD' 101 6
[2022-11-19 15:35:34,072] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-19 15:35:34,072] DEBUG - STREAM b'IDAT' 119 32768
[2022-11-19 15:35:34,074] DEBUG - STREAM b'tEXt' 33836 37
[2022-11-19 15:35:34,074] DEBUG - STREAM b'tEXt' 33885 37
[2022-11-19 15:35:34,074] DEBUG - STREAM b'tEXt' 33934 40
[2022-11-19 15:35:34,074] DEBUG - STREAM b'tEXt' 33986 66
[2022-11-19 15:35:34,077] DEBUG - transcribing audio file in path scripts\SG93IHRvIG1ha2UgeW91ciBBSSBwcm9ncmFtIHRhbGsgdG8gaHVtYW5z\audio\audio-1.wav
[2022-11-19 15:35:42,864] DEBUG - start, 0.0, end, 5.04, text,  The first step in designing an AI program that can communicate with humans is to create
[2022-11-19 15:35:42,864] DEBUG - start, 5.04, end, 7.16, text,  a Communication program.
[2022-11-19 15:35:42,865] DEBUG - start, 7.16, end, 12.44, text,  This program will allow the AI program to communicate with human users through text, or
[2022-11-19 15:35:42,865] DEBUG - start, 12.44, end, 13.68, text,  voice.
[2022-11-19 15:35:42,865] DEBUG - start, 13.68, end, 19.0, text,  Another step in designing an AI program that can communicate with humans is to create a user
[2022-11-19 15:35:42,865] DEBUG - start, 19.0, end, 20.16, text,  interface.
[2022-11-19 15:35:42,865] DEBUG - start, 20.16, end, 25.66, text,  This user interface will allow the AI program to interact with human users through a touch
[2022-11-19 15:35:42,865] DEBUG - start, 25.66, end, 27.64, text,  screen, or keyboard.
[2022-11-19 15:35:42,865] DEBUG - start, 27.64, end, 32.64, text,  The final step in designing an AI program that can communicate with humans is to create
[2022-11-19 15:35:42,865] DEBUG - start, 32.64, end, 34.44, text,  a learning algorithm.
[2022-11-19 15:35:42,865] DEBUG - start, 34.44, end, 38.72, text,  This learning algorithm will help the AI program learn how to speak and understand human
[2022-11-19 15:35:42,865] DEBUG - start, 38.72, end, 65.72, text,  language.
[2022-11-19 15:35:42,964] DEBUG - STREAM b'IHDR' 16 13
[2022-11-19 15:35:42,964] DEBUG - STREAM b'gAMA' 41 4
[2022-11-19 15:35:42,964] DEBUG - STREAM b'cHRM' 57 32
[2022-11-19 15:35:42,964] DEBUG - STREAM b'bKGD' 101 6
[2022-11-19 15:35:42,964] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-19 15:35:42,964] DEBUG - STREAM b'IDAT' 119 27069
[2022-11-19 15:35:42,966] DEBUG - STREAM b'tEXt' 27200 37
[2022-11-19 15:35:42,966] DEBUG - STREAM b'tEXt' 27249 37
[2022-11-19 15:35:42,966] DEBUG - STREAM b'tEXt' 27298 40
[2022-11-19 15:35:42,966] DEBUG - STREAM b'tEXt' 27350 93
[2022-11-19 15:35:43,039] DEBUG - STREAM b'IHDR' 16 13
[2022-11-19 15:35:43,039] DEBUG - STREAM b'gAMA' 41 4
[2022-11-19 15:35:43,039] DEBUG - STREAM b'cHRM' 57 32
[2022-11-19 15:35:43,039] DEBUG - STREAM b'bKGD' 101 6
[2022-11-19 15:35:43,039] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-19 15:35:43,039] DEBUG - STREAM b'IDAT' 119 8877
[2022-11-19 15:35:43,040] DEBUG - STREAM b'tEXt' 9008 37
[2022-11-19 15:35:43,040] DEBUG - STREAM b'tEXt' 9057 37
[2022-11-19 15:35:43,040] DEBUG - STREAM b'tEXt' 9106 40
[2022-11-19 15:35:43,040] DEBUG - STREAM b'tEXt' 9158 30
[2022-11-19 15:35:43,136] DEBUG - STREAM b'IHDR' 16 13
[2022-11-19 15:35:43,136] DEBUG - STREAM b'gAMA' 41 4
[2022-11-19 15:35:43,136] DEBUG - STREAM b'cHRM' 57 32
[2022-11-19 15:35:43,136] DEBUG - STREAM b'bKGD' 101 6
[2022-11-19 15:35:43,137] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-19 15:35:43,137] DEBUG - STREAM b'IDAT' 119 27673
[2022-11-19 15:35:43,138] DEBUG - STREAM b'tEXt' 27804 37
[2022-11-19 15:35:43,138] DEBUG - STREAM b'tEXt' 27853 37
[2022-11-19 15:35:43,138] DEBUG - STREAM b'tEXt' 27902 40
[2022-11-19 15:35:43,138] DEBUG - STREAM b'tEXt' 27954 93
[2022-11-19 15:35:43,209] DEBUG - STREAM b'IHDR' 16 13
[2022-11-19 15:35:43,209] DEBUG - STREAM b'gAMA' 41 4
[2022-11-19 15:35:43,209] DEBUG - STREAM b'cHRM' 57 32
[2022-11-19 15:35:43,209] DEBUG - STREAM b'bKGD' 101 6
[2022-11-19 15:35:43,209] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-19 15:35:43,209] DEBUG - STREAM b'IDAT' 119 2288
[2022-11-19 15:35:43,209] DEBUG - STREAM b'tEXt' 2419 37
[2022-11-19 15:35:43,209] DEBUG - STREAM b'tEXt' 2468 37
[2022-11-19 15:35:43,209] DEBUG - STREAM b'tEXt' 2517 40
[2022-11-19 15:35:43,209] DEBUG - STREAM b'tEXt' 2569 12
[2022-11-19 15:35:43,306] DEBUG - STREAM b'IHDR' 16 13
[2022-11-19 15:35:43,306] DEBUG - STREAM b'gAMA' 41 4
[2022-11-19 15:35:43,306] DEBUG - STREAM b'cHRM' 57 32
[2022-11-19 15:35:43,306] DEBUG - STREAM b'bKGD' 101 6
[2022-11-19 15:35:43,306] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-19 15:35:43,306] DEBUG - STREAM b'IDAT' 119 29741
[2022-11-19 15:35:43,307] DEBUG - STREAM b'tEXt' 29872 37
[2022-11-19 15:35:43,307] DEBUG - STREAM b'tEXt' 29921 37
[2022-11-19 15:35:43,307] DEBUG - STREAM b'tEXt' 29970 40
[2022-11-19 15:35:43,307] DEBUG - STREAM b'tEXt' 30022 98
[2022-11-19 15:35:43,375] DEBUG - STREAM b'IHDR' 16 13
[2022-11-19 15:35:43,376] DEBUG - STREAM b'gAMA' 41 4
[2022-11-19 15:35:43,376] DEBUG - STREAM b'cHRM' 57 32
[2022-11-19 15:35:43,376] DEBUG - STREAM b'bKGD' 101 6
[2022-11-19 15:35:43,376] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-19 15:35:43,376] DEBUG - STREAM b'IDAT' 119 3393
[2022-11-19 15:35:43,376] DEBUG - STREAM b'tEXt' 3524 37
[2022-11-19 15:35:43,376] DEBUG - STREAM b'tEXt' 3573 37
[2022-11-19 15:35:43,377] DEBUG - STREAM b'tEXt' 3622 40
[2022-11-19 15:35:43,377] DEBUG - STREAM b'tEXt' 3674 16
[2022-11-19 15:35:43,473] DEBUG - STREAM b'IHDR' 16 13
[2022-11-19 15:35:43,473] DEBUG - STREAM b'gAMA' 41 4
[2022-11-19 15:35:43,473] DEBUG - STREAM b'cHRM' 57 32
[2022-11-19 15:35:43,473] DEBUG - STREAM b'bKGD' 101 6
[2022-11-19 15:35:43,473] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-19 15:35:43,473] DEBUG - STREAM b'IDAT' 119 27383
[2022-11-19 15:35:43,474] DEBUG - STREAM b'tEXt' 27514 37
[2022-11-19 15:35:43,474] DEBUG - STREAM b'tEXt' 27563 37
[2022-11-19 15:35:43,474] DEBUG - STREAM b'tEXt' 27612 40
[2022-11-19 15:35:43,474] DEBUG - STREAM b'tEXt' 27664 96
[2022-11-19 15:35:43,549] DEBUG - STREAM b'IHDR' 16 13
[2022-11-19 15:35:43,549] DEBUG - STREAM b'gAMA' 41 4
[2022-11-19 15:35:43,549] DEBUG - STREAM b'cHRM' 57 32
[2022-11-19 15:35:43,549] DEBUG - STREAM b'bKGD' 101 6
[2022-11-19 15:35:43,549] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-19 15:35:43,549] DEBUG - STREAM b'IDAT' 119 7509
[2022-11-19 15:35:43,549] DEBUG - STREAM b'tEXt' 7640 37
[2022-11-19 15:35:43,549] DEBUG - STREAM b'tEXt' 7689 37
[2022-11-19 15:35:43,549] DEBUG - STREAM b'tEXt' 7738 40
[2022-11-19 15:35:43,549] DEBUG - STREAM b'tEXt' 7790 26
[2022-11-19 15:35:43,645] DEBUG - STREAM b'IHDR' 16 13
[2022-11-19 15:35:43,645] DEBUG - STREAM b'gAMA' 41 4
[2022-11-19 15:35:43,645] DEBUG - STREAM b'cHRM' 57 32
[2022-11-19 15:35:43,646] DEBUG - STREAM b'bKGD' 101 6
[2022-11-19 15:35:43,646] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-19 15:35:43,646] DEBUG - STREAM b'IDAT' 119 26416
[2022-11-19 15:35:43,647] DEBUG - STREAM b'tEXt' 26547 37
[2022-11-19 15:35:43,647] DEBUG - STREAM b'tEXt' 26596 37
[2022-11-19 15:35:43,647] DEBUG - STREAM b'tEXt' 26645 40
[2022-11-19 15:35:43,647] DEBUG - STREAM b'tEXt' 26697 93
[2022-11-19 15:35:43,830] DEBUG - STREAM b'IHDR' 16 13
[2022-11-19 15:35:43,830] DEBUG - STREAM b'gAMA' 41 4
[2022-11-19 15:35:43,830] DEBUG - STREAM b'cHRM' 57 32
[2022-11-19 15:35:43,830] DEBUG - STREAM b'bKGD' 101 6
[2022-11-19 15:35:43,830] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-19 15:35:43,830] DEBUG - STREAM b'IDAT' 119 6613
[2022-11-19 15:35:43,830] DEBUG - STREAM b'tEXt' 6744 37
[2022-11-19 15:35:43,830] DEBUG - STREAM b'tEXt' 6793 37
[2022-11-19 15:35:43,830] DEBUG - STREAM b'tEXt' 6842 40
[2022-11-19 15:35:43,830] DEBUG - STREAM b'tEXt' 6894 27
[2022-11-19 15:35:43,930] DEBUG - STREAM b'IHDR' 16 13
[2022-11-19 15:35:43,930] DEBUG - STREAM b'gAMA' 41 4
[2022-11-19 15:35:43,930] DEBUG - STREAM b'cHRM' 57 32
[2022-11-19 15:35:43,930] DEBUG - STREAM b'bKGD' 101 6
[2022-11-19 15:35:43,930] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-19 15:35:43,930] DEBUG - STREAM b'IDAT' 119 27228
[2022-11-19 15:35:43,931] DEBUG - STREAM b'tEXt' 27359 37
[2022-11-19 15:35:43,931] DEBUG - STREAM b'tEXt' 27408 37
[2022-11-19 15:35:43,931] DEBUG - STREAM b'tEXt' 27457 40
[2022-11-19 15:35:43,931] DEBUG - STREAM b'tEXt' 27509 94
[2022-11-19 15:35:44,015] DEBUG - STREAM b'IHDR' 16 13
[2022-11-19 15:35:44,015] DEBUG - STREAM b'gAMA' 41 4
[2022-11-19 15:35:44,016] DEBUG - STREAM b'cHRM' 57 32
[2022-11-19 15:35:44,016] DEBUG - STREAM b'bKGD' 101 6
[2022-11-19 15:35:44,016] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-19 15:35:44,016] DEBUG - STREAM b'IDAT' 119 4065
[2022-11-19 15:35:44,016] DEBUG - STREAM b'tEXt' 4196 37
[2022-11-19 15:35:44,016] DEBUG - STREAM b'tEXt' 4245 37
[2022-11-19 15:35:44,016] DEBUG - STREAM b'tEXt' 4294 40
[2022-11-19 15:35:44,017] DEBUG - STREAM b'tEXt' 4346 15
[2022-11-19 15:35:44,770] DEBUG - STREAM b'IHDR' 16 13
[2022-11-19 15:35:44,770] DEBUG - STREAM b'gAMA' 41 4
[2022-11-19 15:35:44,770] DEBUG - STREAM b'cHRM' 57 32
[2022-11-19 15:35:44,770] DEBUG - STREAM b'bKGD' 101 6
[2022-11-19 15:35:44,770] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-19 15:35:44,771] DEBUG - STREAM b'IDAT' 119 30339
[2022-11-19 15:35:44,771] DEBUG - STREAM b'tEXt' 30470 37
[2022-11-19 15:35:44,772] DEBUG - STREAM b'tEXt' 30519 37
[2022-11-19 15:35:44,772] DEBUG - STREAM b'tEXt' 30568 40
[2022-11-19 15:35:44,772] DEBUG - STREAM b'tEXt' 30620 61
[2022-11-19 15:35:44,774] DEBUG - transcribing audio file in path scripts\SG93IHRvIG1ha2UgeW91ciBBSSBwcm9ncmFtIHRhbGsgdG8gaHVtYW5z\audio\audio-3.wav
[2022-11-19 15:35:52,689] DEBUG - start, 0.0, end, 4.16, text,  The second step in training your AI program to communicate with humans
[2022-11-19 15:35:52,689] DEBUG - start, 4.14, end, 6.44, text,  is to create a training data set.
[2022-11-19 15:35:52,689] DEBUG - start, 6.44, end, 9.18, text,  This training data set will help they AI program learn
[2022-11-19 15:35:52,689] DEBUG - start, 9.18, end, 11.66, text,  how to speak and understand human language.
[2022-11-19 15:35:52,689] DEBUG - start, 11.66, end, 13.86, text,  The next step in training your AI program
[2022-11-19 15:35:52,689] DEBUG - start, 13.86, end, 16.7, text,  to communicate with humans is to create a training.
[2022-11-19 15:35:52,689] DEBUG - start, 16.7, end, 19.02, text,  Algorithm, this training algorithm
[2022-11-19 15:35:52,689] DEBUG - start, 19.02, end, 21.54, text,  will help the AI program learn how to speak
[2022-11-19 15:35:52,689] DEBUG - start, 21.54, end, 23.54, text,  and understand human language.
[2022-11-19 15:35:52,689] DEBUG - start, 23.54, end, 25.76, text,  The final step in training your AI program
[2022-11-19 15:35:52,689] DEBUG - start, 25.76, end, 27.54, text,  to communicate with humans is
