[2022-11-20 16:29:33,747] CRITICAL - GPU detected
[2022-11-20 16:29:55,340] DEBUG - STREAM b'IHDR' 16 13
[2022-11-20 16:29:55,340] DEBUG - STREAM b'gAMA' 41 4
[2022-11-20 16:29:55,341] DEBUG - STREAM b'cHRM' 57 32
[2022-11-20 16:29:55,341] DEBUG - STREAM b'bKGD' 101 6
[2022-11-20 16:29:55,341] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-20 16:29:55,341] DEBUG - STREAM b'IDAT' 119 13632
[2022-11-20 16:29:55,342] DEBUG - STREAM b'tEXt' 13763 37
[2022-11-20 16:29:55,342] DEBUG - STREAM b'tEXt' 13812 37
[2022-11-20 16:29:55,342] DEBUG - STREAM b'tEXt' 13861 40
[2022-11-20 16:29:55,342] DEBUG - STREAM b'tEXt' 13913 31
[2022-11-20 16:29:55,343] DEBUG - transcribing audio file in path .\scripts\VGhlb3J5IGJlaGluZCBEYXRhIHN0cnVjdHVyZXM6IEFuIGV4cGxvcmF0aW9u\audio\audio-1.wav
[2022-11-20 16:30:00,956] DEBUG - start, 0.0, end, 3.52, text,  A data structure is a way to organize information in a computer.
[2022-11-20 16:30:00,957] DEBUG - start, 3.52, end, 8.24, text,  There are a lot of different data structures, and each one is good for a different purpose.
[2022-11-20 16:30:00,957] DEBUG - start, 8.24, end, 10.96, text,  One common data structure is the stack.
[2022-11-20 16:30:00,957] DEBUG - start, 10.96, end, 14.120000000000001, text,  A stack is a way to keep a list of things in memory.
[2022-11-20 16:30:00,957] DEBUG - start, 14.120000000000001, end, 16.88, text,  You can think of it kind of like a pile of books.
[2022-11-20 16:30:00,957] DEBUG - start, 16.88, end, 20.88, text,  When you want to take a book off the top of the pile, you need to push it down the backside
[2022-11-20 16:30:00,957] DEBUG - start, 20.88, end, 22.04, text,  of the pile.
[2022-11-20 16:30:00,957] DEBUG - start, 22.04, end, 25.52, text,  When you want to add a book to the top of the pile, you need to push it up the backside
[2022-11-20 16:30:00,958] DEBUG - start, 25.52, end, 26.76, text,  of the pile.
[2022-11-20 16:30:00,958] DEBUG - start, 26.76, end, 30.560000000000002, text,  One way to think about a stack is that it is a list of things that you can only add
[2022-11-20 16:30:00,958] DEBUG - start, 30.56, end, 60.4, text,  to or remove from the top.
[2022-11-20 16:30:01,068] DEBUG - STREAM b'IHDR' 16 13
[2022-11-20 16:30:01,068] DEBUG - STREAM b'gAMA' 41 4
[2022-11-20 16:30:01,068] DEBUG - STREAM b'cHRM' 57 32
[2022-11-20 16:30:01,068] DEBUG - STREAM b'bKGD' 101 6
[2022-11-20 16:30:01,068] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-20 16:30:01,069] DEBUG - STREAM b'IDAT' 119 21064
[2022-11-20 16:30:01,070] DEBUG - STREAM b'tEXt' 21195 37
[2022-11-20 16:30:01,070] DEBUG - STREAM b'tEXt' 21244 37
[2022-11-20 16:30:01,070] DEBUG - STREAM b'tEXt' 21293 40
[2022-11-20 16:30:01,070] DEBUG - STREAM b'tEXt' 21345 70
[2022-11-20 16:30:01,176] DEBUG - STREAM b'IHDR' 16 13
[2022-11-20 16:30:01,176] DEBUG - STREAM b'gAMA' 41 4
[2022-11-20 16:30:01,176] DEBUG - STREAM b'cHRM' 57 32
[2022-11-20 16:30:01,176] DEBUG - STREAM b'bKGD' 101 6
[2022-11-20 16:30:01,176] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-20 16:30:01,176] DEBUG - STREAM b'IDAT' 119 27830
[2022-11-20 16:30:01,178] DEBUG - STREAM b'tEXt' 27961 37
[2022-11-20 16:30:01,178] DEBUG - STREAM b'tEXt' 28010 37
[2022-11-20 16:30:01,178] DEBUG - STREAM b'tEXt' 28059 40
[2022-11-20 16:30:01,178] DEBUG - STREAM b'tEXt' 28111 97
[2022-11-20 16:30:01,252] DEBUG - STREAM b'IHDR' 16 13
[2022-11-20 16:30:01,253] DEBUG - STREAM b'gAMA' 41 4
[2022-11-20 16:30:01,253] DEBUG - STREAM b'cHRM' 57 32
[2022-11-20 16:30:01,253] DEBUG - STREAM b'bKGD' 101 6
[2022-11-20 16:30:01,253] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-20 16:30:01,253] DEBUG - STREAM b'IDAT' 119 12911
[2022-11-20 16:30:01,253] DEBUG - STREAM b'tEXt' 13042 37
[2022-11-20 16:30:01,253] DEBUG - STREAM b'tEXt' 13091 37
[2022-11-20 16:30:01,253] DEBUG - STREAM b'tEXt' 13140 40
[2022-11-20 16:30:01,254] DEBUG - STREAM b'tEXt' 13192 45
[2022-11-20 16:30:01,337] DEBUG - STREAM b'IHDR' 16 13
[2022-11-20 16:30:01,337] DEBUG - STREAM b'gAMA' 41 4
[2022-11-20 16:30:01,337] DEBUG - STREAM b'cHRM' 57 32
[2022-11-20 16:30:01,337] DEBUG - STREAM b'bKGD' 101 6
[2022-11-20 16:30:01,337] DEBUG - b'bKGD' 101 6 (unknown)
[2022-11-20 16:30:01,337] DEBUG - STREAM b'IDAT' 119 17123
[2022-11-20 16:30:01,338] DEBUG - STREAM b'tEXt' 17254 37
[2022-11-20 16:30:01,338] DEBUG - STREAM b'tEXt' 17303 37
[2022-11-20 16:30:01,338] DEBUG - STREAM b'tEXt' 17352 40
[2022-11-20 16:30:01,339] DEBUG - STREAM b'tEXt' 17404 58
[2022-11-20 16:30:01,416] DEBUG - STREAM b'IHDR' 16 13
[2022-11-20 16:30:01,416] DEBUG - STREAM b'gAMA' 41 4
[2022-11-20 16:30:01,416] DEBUG - STREAM b'cHRM' 57 32
